OBJECTID_1,OBJECTID,Id,Row,Col,District_1,NSM_Active,NSM_Col,NSM_ROCO,SFWMM_Acti,SFWMM_Col,SFWMM_ROCO,LOK_Active,cell_area,Xcoord,Ycoord,rowco,Shape_Length,Shape_Area,rf_active
192,192,0,3,52,3052,1,23,3023,1,23,3023,0,0,0.0000000,0.0000000,3052,42240.090060815564000,111514075.521349500000000,1
193,193,0,3,53,3053,1,24,3024,1,24,3024,0,0,0.0000000,0.0000000,3053,42240.067423126544000,111513955.993863550000000,1
194,194,0,3,54,3054,1,25,3025,1,25,3025,0,0,0.0000000,0.0000000,3054,42240.045769696088000,111513841.663245750000000,1
195,195,0,3,55,3055,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3055,42240.034943002174000,111513784.497815390000000,0
196,196,0,3,56,3056,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3056,42240.080874676125000,111514027.016513330000000,0
197,197,0,3,57,3057,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3057,42240.084155298391000,111514044.338224040000000,0
198,198,0,3,58,3058,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3058,42240.088092169914000,111514065.124515440000000,0
199,199,0,3,59,3059,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3059,42240.091701051548000,111514084.178604770000000,0
200,200,0,3,60,3060,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3060,42240.095638092345000,111514104.964944140000000,0
201,201,0,3,61,3061,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3061,42240.098919043114000,111514122.286720350000000,0
202,202,0,3,62,3062,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3062,42240.101871984567000,111514137.876167220000000,0
203,203,0,3,63,3063,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3063,42240.275428207795000,111515054.250941170000000,0
204,204,0,3,64,3064,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3064,42240.631726751206000,111516935.506873820000000,0
205,205,0,3,65,3065,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3065,42240.641569382540000,111516987.476691560000000,0
206,206,0,3,66,3066,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3066,42240.650755844719000,111517035.981835960000000,0
207,207,0,3,67,3067,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3067,42240.660926568708000,111517089.683957130000000,0
208,208,0,3,68,3068,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3068,42240.670441126844000,111517139.921435790000000,0
209,209,0,3,69,3069,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3069,42240.679955710024000,111517190.158899410000000,0
210,210,0,3,70,3070,0,0,0,0,0,0,0,0,0.0000000,0.0000000,3070,42240.689798383857000,111517242.128662750000000,0
251,251,0,4,41,4041,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4041,42240.426346491040000,111515851.120325880000000,1
252,252,0,4,42,4042,1,13,4013,1,13,4013,0,0,0.0000000,0.0000000,4042,42240.414535475771000,111515788.757464650000000,1
253,253,0,4,43,4043,1,14,4014,1,14,4014,0,0,0.0000000,0.0000000,4043,42240.402068288349000,111515722.929981460000000,1
254,254,0,4,44,4044,1,15,4015,1,15,4015,0,0,0.0000000,0.0000000,4044,42240.389601117015000,111515657.102568700000000,1
255,255,0,4,45,4045,1,16,4016,1,16,4016,0,0,0.0000000,0.0000000,4045,42240.377462026103000,111515593.007437100000000,1
256,256,0,4,46,4046,1,17,4017,1,17,4017,0,0,0.0000000,0.0000000,4046,42240.365322927086000,111515528.912270860000000,1
257,257,0,4,47,4047,1,18,4018,1,18,4018,0,0,0.0000000,0.0000000,4047,42240.352855755387000,111515463.084870760000000,1
258,258,0,4,48,4048,1,19,4019,1,19,4019,0,0,0.0000000,0.0000000,4048,42240.191766605181000,111514612.529802310000000,1
259,259,0,4,49,4049,1,20,4020,1,20,4020,0,0,0.0000000,0.0000000,4049,42240.168800798034000,111514491.269928510000000,1
260,260,0,4,50,4050,1,21,4021,1,21,4021,0,0,0.0000000,0.0000000,4050,42240.149115837761000,111514387.332982510000000,1
261,261,0,4,51,4051,1,22,4022,1,22,4022,0,0,0.0000000,0.0000000,4051,42240.128446633345000,111514278.199184980000000,1
262,262,0,4,52,4052,1,23,4023,1,23,4023,0,0,0.0000000,0.0000000,4052,42240.108105513129000,111514170.797652050000000,1
263,263,0,4,53,4053,1,24,4024,1,24,4024,0,0,0.0000000,0.0000000,4053,42240.087436320457000,111514061.663867000000000,1
